name,address,zip
MetLife Stadium,1 MetLife Stadium Drive,07073
Philips Arena,1 Philips Drive,30303
Staples Center,1111 South Figueroa Street,90015
Bridgestone Arena,501 Broadway,37203
Grand Star Jazz Club,943 Sun Mun Way,90012
Santa Barbara Bowl,1122 North Milpas Street,93103
9:30 Club,815 V Street NW,20001
The Filmore,1805 Geary Boulevard,94115
Red Rocks Ampitheatre,18300 W Alameda Parkway,80401
The Troubadour,9081 Santa Monica Boulevard,90069
Irving Plaza,17 Irving Place,10003
Electric Factory,421 North 7th Street,19123
MGM Grand Garden Arena,3799 Las Vegas Boulevard South,89109
Beacon Theatre,2124 Broadway,10023
House of Blues - Hollywood,8430 Sunset Boulevard,90069
Grant Park,337 E Randolph Street,60601
Shoreline Amphitheatre,1 Amphitheatre Parkway,94043
Radio City Music Hall,1260 Avenue of the Americas,10020
Showbox at the Market,1426 1st Avenue,98101
Greek Theatre,2700 North Vermont Avenue,90027